infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;featurizer;attribute;feature;weight
dk;incremental;True;-1;7;OccurAttrFeaturizer;city;inspectiontype;0.0
dk;incremental;True;-1;7;OccurAttrFeaturizer;city;results;-0.0
dk;incremental;True;-1;7;OccurAttrFeaturizer;facilitytype;inspectionid;1.449
dk;incremental;True;-1;7;OccurAttrFeaturizer;facilitytype;dbaname;1.257
dk;incremental;True;-1;7;OccurAttrFeaturizer;facilitytype;akaname;1.326
dk;incremental;True;-1;7;OccurAttrFeaturizer;facilitytype;license;1.322
dk;incremental;True;-1;7;OccurAttrFeaturizer;facilitytype;facilitytype;0.0
dk;incremental;True;-1;7;OccurAttrFeaturizer;facilitytype;risk;0.253
dk;incremental;True;-1;7;OccurAttrFeaturizer;facilitytype;address;1.292
dk;incremental;True;-1;7;OccurAttrFeaturizer;facilitytype;city;0.191
dk;incremental;True;-1;7;OccurAttrFeaturizer;facilitytype;state;0.191
dk;incremental;True;-1;7;OccurAttrFeaturizer;facilitytype;zip;0.415
dk;incremental;True;-1;7;OccurAttrFeaturizer;facilitytype;inspectiondate;0.647
dk;incremental;True;-1;7;OccurAttrFeaturizer;facilitytype;inspectiontype;0.292
dk;incremental;True;-1;7;OccurAttrFeaturizer;facilitytype;results;0.197
dk;incremental;True;-1;7;OccurAttrFeaturizer;zip;inspectionid;1.357
dk;incremental;True;-1;7;OccurAttrFeaturizer;zip;dbaname;1.233
dk;incremental;True;-1;7;OccurAttrFeaturizer;zip;akaname;1.137
dk;incremental;True;-1;7;OccurAttrFeaturizer;zip;license;1.715
dk;incremental;True;-1;7;OccurAttrFeaturizer;zip;facilitytype;0.191
dk;incremental;True;-1;7;OccurAttrFeaturizer;zip;risk;0.032
dk;incremental;True;-1;7;OccurAttrFeaturizer;zip;address;1.833
dk;incremental;True;-1;7;OccurAttrFeaturizer;zip;city;0.013
dk;incremental;True;-1;7;OccurAttrFeaturizer;zip;state;0.0
dk;incremental;True;-1;7;OccurAttrFeaturizer;zip;zip;-0.0
dk;incremental;True;-1;7;OccurAttrFeaturizer;zip;inspectiondate;1.168
dk;incremental;True;-1;7;OccurAttrFeaturizer;zip;inspectiontype;0.166
dk;incremental;True;-1;7;OccurAttrFeaturizer;zip;results;0.026
dk;incremental;True;-1;8;OccurAttrFeaturizer;akaname;inspectionid;2.616
dk;incremental;True;-1;8;OccurAttrFeaturizer;akaname;dbaname;2.184
dk;incremental;True;-1;8;OccurAttrFeaturizer;akaname;akaname;-0.0
dk;incremental;True;-1;8;OccurAttrFeaturizer;akaname;license;2.153
dk;incremental;True;-1;8;OccurAttrFeaturizer;akaname;facilitytype;0.386
dk;incremental;True;-1;8;OccurAttrFeaturizer;akaname;risk;0.024
dk;incremental;True;-1;8;OccurAttrFeaturizer;akaname;address;2.073
dk;incremental;True;-1;8;OccurAttrFeaturizer;akaname;city;0.001
dk;incremental;True;-1;8;OccurAttrFeaturizer;akaname;state;0.001
dk;incremental;True;-1;8;OccurAttrFeaturizer;akaname;zip;0.344
dk;incremental;True;-1;8;OccurAttrFeaturizer;akaname;inspectiondate;0.836
dk;incremental;True;-1;8;OccurAttrFeaturizer;akaname;inspectiontype;0.079
dk;incremental;True;-1;8;OccurAttrFeaturizer;akaname;results;0.021
dk;incremental;True;-1;8;OccurAttrFeaturizer;facilitytype;inspectionid;1.543
dk;incremental;True;-1;8;OccurAttrFeaturizer;facilitytype;dbaname;1.278
dk;incremental;True;-1;8;OccurAttrFeaturizer;facilitytype;akaname;1.429
dk;incremental;True;-1;8;OccurAttrFeaturizer;facilitytype;license;1.295
dk;incremental;True;-1;8;OccurAttrFeaturizer;facilitytype;facilitytype;0.0
dk;incremental;True;-1;8;OccurAttrFeaturizer;facilitytype;risk;0.263
dk;incremental;True;-1;8;OccurAttrFeaturizer;facilitytype;address;1.245
dk;incremental;True;-1;8;OccurAttrFeaturizer;facilitytype;city;0.204
dk;incremental;True;-1;8;OccurAttrFeaturizer;facilitytype;state;0.204
dk;incremental;True;-1;8;OccurAttrFeaturizer;facilitytype;zip;0.415
dk;incremental;True;-1;8;OccurAttrFeaturizer;facilitytype;inspectiondate;0.594
dk;incremental;True;-1;8;OccurAttrFeaturizer;facilitytype;inspectiontype;0.282
dk;incremental;True;-1;8;OccurAttrFeaturizer;facilitytype;results;0.211
dk;incremental;True;-1;9;OccurAttrFeaturizer;akaname;inspectionid;2.616
