batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
33;8384;57802;0.5111111111111111;0.006597819850831899;0.006597819850831899;0.013027470971396208;0.013027470971396208;6972.0;6972.0;46.0;90;90.0;1.0;89.0;0.0
34;8622;59593;0.5526315789473685;0.0058618283321702725;0.0058618283321702725;0.011600607650876952;0.011600607650876952;7165.0;7165.0;42.0;76;76.0;1.0;75.0;0.0
35;8875;61327;0.75;0.00854005693371289;0.00854005693371289;0.016887816646562123;0.016887816646562123;7377.0;7377.0;63.0;84;84.0;1.0;83.0;0.0
36;9123;63078;0.5522388059701493;0.004892238529683988;0.004892238529683988;0.009698558322411533;0.009698558322411533;7563.0;7563.0;37.0;67;67.0;1.0;66.0;0.0
37;9389;64822;0.4326923076923077;0.005774412934684974;0.005774412934684974;0.011396732936558188;0.011396732936558188;7793.0;7793.0;45.0;104;104.0;1.0;103.0;0.0
38;9614;66560;0.6;0.004890895410082769;0.004890895410082769;0.009702699340714018;0.009702699340714018;7974.0;7974.0;39.0;65;65.0;2.0;63.0;0.0
39;9874;68340;0.5903614457831325;0.005977796754910333;0.005977796754910333;0.011835748792270532;0.011835748792270532;8197.0;8197.0;49.0;83;83.0;1.0;82.0;0.0
40;10133;70109;0.5375;0.005114176974310181;0.005114176974310181;0.010131950989632424;0.010131950989632424;8408.0;8408.0;43.0;80;80.0;3.0;77.0;0.0
41;10378;71803;0.5;0.003947521188900499;0.003947521188900499;0.00783319894021426;0.00783319894021426;8613.0;8613.0;34.0;68;68.0;3.0;65.0;0.0
42;10638;73605;0.5972222222222222;0.00486315313277539;0.00486315313277539;0.009647745120035899;0.009647745120035899;8842.0;8842.0;43.0;72;72.0;1.0;71.0;0.0
43;10873;75320;0.6811594202898551;0.005201992252351965;0.005201992252351965;0.010325131810193322;0.010325131810193322;9035.0;9035.0;47.0;69;69.0;1.0;68.0;0.0
44;11124;77078;0.6309523809523809;0.005735930735930736;0.005735930735930736;0.011368511368511369;0.011368511368511369;9240.0;9240.0;53.0;84;84.0;3.0;81.0;0.0
45;11368;78839;0.675;0.005723977104091583;0.005723977104091583;0.0113516922430103;0.0113516922430103;9434.0;9434.0;54.0;80;80.0;1.0;79.0;0.0
46;11615;80666;0.5897435897435898;0.004777731616119651;0.004777731616119651;0.009478672985781991;0.009478672985781991;9628.0;9628.0;46.0;78;78.0;1.0;77.0;0.0
47;11877;82377;0.6296296296296297;0.005180294565769426;0.005180294565769426;0.010276042716099136;0.010276042716099136;9845.0;9845.0;51.0;81;81.0;1.0;80.0;0.0
48;12112;84109;0.6111111111111112;0.004386839481555334;0.004386839481555334;0.008711146307661847;0.008711146307661847;10030.0;10030.0;44.0;72;72.0;1.0;71.0;0.0
49;12378;85879;0.7711864406779662;0.008875451087486589;0.008875451087486589;0.017548934528975026;0.017548934528975026;10253.0;10253.0;91.0;118;118.0;3.0;115.0;0.0
