infer_mode;features;train_using_all_batches;batch;featurizer;attribute;feature;weight
dk;incremental;False;1;OccurAttrFeaturizer;LAW_CAT_CD;Y_COORD_CD;0.388
dk;incremental;False;1;OccurAttrFeaturizer;LAW_CAT_CD;Latitude;0.358
dk;incremental;False;1;OccurAttrFeaturizer;LAW_CAT_CD;Longitude;0.397
dk;incremental;False;1;OccurAttrFeaturizer;LOC_OF_OCCUR_DESC;ADDR_PCT_CD;-0.25
dk;incremental;False;1;OccurAttrFeaturizer;LOC_OF_OCCUR_DESC;BORO_NM;-0.36
dk;incremental;False;1;OccurAttrFeaturizer;LOC_OF_OCCUR_DESC;CRM_ATPT_CPTD_CD;-0.327
dk;incremental;False;1;OccurAttrFeaturizer;LOC_OF_OCCUR_DESC;JURISDICTION_CODE;-0.305
dk;incremental;False;1;OccurAttrFeaturizer;LOC_OF_OCCUR_DESC;JURIS_DESC;-0.306
dk;incremental;False;1;OccurAttrFeaturizer;LOC_OF_OCCUR_DESC;KY_CD;0.215
dk;incremental;False;1;OccurAttrFeaturizer;LOC_OF_OCCUR_DESC;LAW_CAT_CD;-0.302
dk;incremental;False;1;OccurAttrFeaturizer;LOC_OF_OCCUR_DESC;LOC_OF_OCCUR_DESC;-0.0
dk;incremental;False;1;OccurAttrFeaturizer;LOC_OF_OCCUR_DESC;OFNS_DESC;0.219
dk;incremental;False;1;OccurAttrFeaturizer;LOC_OF_OCCUR_DESC;PATROL_BORO;-0.291
dk;incremental;False;1;OccurAttrFeaturizer;LOC_OF_OCCUR_DESC;PD_CD;1.177
dk;incremental;False;1;OccurAttrFeaturizer;LOC_OF_OCCUR_DESC;PD_DESC;1.111
dk;incremental;False;1;OccurAttrFeaturizer;LOC_OF_OCCUR_DESC;PREM_TYP_DESC;1.769
dk;incremental;False;1;OccurAttrFeaturizer;LOC_OF_OCCUR_DESC;X_COORD_CD;1.309
dk;incremental;False;1;OccurAttrFeaturizer;LOC_OF_OCCUR_DESC;Y_COORD_CD;1.302
dk;incremental;False;1;OccurAttrFeaturizer;LOC_OF_OCCUR_DESC;Latitude;1.34
dk;incremental;False;1;OccurAttrFeaturizer;LOC_OF_OCCUR_DESC;Longitude;1.234
