batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9
9;3.4881198406219482;2.1580088138580322;-1.8791412406595797e-41;1.8321470022201538;0.03549669310450554;0.31294581294059753;0.18867352604866028;0.23447692394256592;0.05636676028370857;0.3412725031375885
9;3.4980435371398926;2.15354323387146;-1.8791412406595797e-41;1.8429898023605347;0.039208006113767624;0.3141153156757355;0.1888684630393982;0.2351461946964264;0.05041559785604477;0.34187376499176025
10;3.509117364883423;2.182415246963501;-1.8791412406595797e-41;1.8486897945404053;0.052486639469861984;0.3289012908935547;0.17172230780124664;0.232809379696846;0.0716748982667923;0.35820597410202026
10;3.519225597381592;2.1706953048706055;-1.8791412406595797e-41;1.8634885549545288;0.05075883865356445;0.3221926689147949;0.16614918410778046;0.22466591000556946;0.05414247885346413;0.35625308752059937
11;3.4712798595428467;2.19315505027771;-1.8791412406595797e-41;1.8307634592056274;0.05832267552614212;0.32797473669052124;0.19407542049884796;0.2501404881477356;0.07377778738737106;0.37595903873443604
11;3.4635751247406006;2.1990253925323486;-1.8791412406595797e-41;1.81984281539917;0.055886223912239075;0.3273702561855316;0.19240039587020874;0.25111836194992065;0.08395253121852875;0.3743700385093689
12;3.520630121231079;2.1170718669891357;-1.8791412406595797e-41;1.8724374771118164;0.044558335095644;0.3196083605289459;0.1771877110004425;0.255641907453537;0.05092453211545944;0.3475341200828552
12;3.5116214752197266;2.128355026245117;-1.8791412406595797e-41;1.8634259700775146;0.04313870891928673;0.3227868974208832;0.18013927340507507;0.2592647671699524;0.05763551965355873;0.34833279252052307
13;3.463440418243408;2.1590113639831543;-1.8791412406595797e-41;1.8541488647460938;0.04022880271077156;0.30757421255111694;0.17328354716300964;0.24663536250591278;0.04934849217534065;0.32208043336868286
13;3.4692020416259766;2.1379730701446533;-1.8791412406595797e-41;1.8605033159255981;0.03389773145318031;0.31238600611686707;0.17101527750492096;0.24740411341190338;0.05139756202697754;0.3232588768005371
14;3.4524073600769043;2.193723440170288;-1.8791412406595797e-41;1.8634639978408813;0.043285682797431946;0.31585437059402466;0.1935851126909256;0.23898200690746307;0.04978642612695694;0.3364187777042389
