infer_mode;features;train_using_all_batches;batch;featurizer;attribute;feature;weight
all;incremental;False;1;OccurAttrFeaturizer;birthyear;name;3.512
all;incremental;False;1;OccurAttrFeaturizer;birthyear;surname;2.147
all;incremental;False;1;OccurAttrFeaturizer;birthyear;birthyear;-0.0
all;incremental;False;1;OccurAttrFeaturizer;birthyear;birthplace;1.846
all;incremental;False;1;OccurAttrFeaturizer;birthyear;position;0.038
all;incremental;False;1;OccurAttrFeaturizer;birthyear;team;0.319
all;incremental;False;1;OccurAttrFeaturizer;birthyear;city;0.186
all;incremental;False;1;OccurAttrFeaturizer;birthyear;stadium;0.239
all;incremental;False;1;OccurAttrFeaturizer;birthyear;season;0.065
all;incremental;False;1;OccurAttrFeaturizer;birthyear;manager;0.318
all;incremental;False;1;OccurAttrFeaturizer;city;name;2.129
all;incremental;False;1;OccurAttrFeaturizer;city;surname;2.058
all;incremental;False;1;OccurAttrFeaturizer;city;birthyear;0.317
all;incremental;False;1;OccurAttrFeaturizer;city;birthplace;1.445
all;incremental;False;1;OccurAttrFeaturizer;city;position;0.151
all;incremental;False;1;OccurAttrFeaturizer;city;team;2.24
all;incremental;False;1;OccurAttrFeaturizer;city;city;0.0
all;incremental;False;1;OccurAttrFeaturizer;city;stadium;2.568
all;incremental;False;1;OccurAttrFeaturizer;city;season;0.428
all;incremental;False;1;OccurAttrFeaturizer;city;manager;1.516
all;incremental;False;1;OccurAttrFeaturizer;manager;name;3.168
all;incremental;False;1;OccurAttrFeaturizer;manager;surname;2.847
all;incremental;False;1;OccurAttrFeaturizer;manager;birthyear;0.423
all;incremental;False;1;OccurAttrFeaturizer;manager;birthplace;1.972
all;incremental;False;1;OccurAttrFeaturizer;manager;position;0.055
all;incremental;False;1;OccurAttrFeaturizer;manager;team;3.561
all;incremental;False;1;OccurAttrFeaturizer;manager;city;1.648
all;incremental;False;1;OccurAttrFeaturizer;manager;stadium;1.843
all;incremental;False;1;OccurAttrFeaturizer;manager;season;0.999
all;incremental;False;1;OccurAttrFeaturizer;manager;manager;0.0
all;incremental;False;1;OccurAttrFeaturizer;name;name;-0.0
all;incremental;False;1;OccurAttrFeaturizer;name;surname;4.846
all;incremental;False;1;OccurAttrFeaturizer;name;birthyear;1.036
all;incremental;False;1;OccurAttrFeaturizer;name;birthplace;4.788
all;incremental;False;1;OccurAttrFeaturizer;name;position;0.072
all;incremental;False;1;OccurAttrFeaturizer;name;team;0.798
all;incremental;False;1;OccurAttrFeaturizer;name;city;0.323
all;incremental;False;1;OccurAttrFeaturizer;name;stadium;0.572
all;incremental;False;1;OccurAttrFeaturizer;name;season;0.158
all;incremental;False;1;OccurAttrFeaturizer;name;manager;0.91
all;incremental;False;1;OccurAttrFeaturizer;position;name;1.944
all;incremental;False;1;OccurAttrFeaturizer;position;surname;2.246
all;incremental;False;1;OccurAttrFeaturizer;position;birthyear;-0.095
all;incremental;False;1;OccurAttrFeaturizer;position;birthplace;0.783
