infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;featurizer;attribute;feature;weight
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthyear;manager;0.529
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;name;1.559
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;surname;1.548
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;birthyear;0.327
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;birthplace;1.225
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;position;0.039
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;team;2.411
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;city;0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;stadium;2.674
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;season;0.26
dk;incremental;True;-1;2;OccurAttrFeaturizer;city;manager;1.556
dk;incremental;True;-1;2;OccurAttrFeaturizer;manager;name;2.356
dk;incremental;True;-1;2;OccurAttrFeaturizer;manager;surname;2.396
dk;incremental;True;-1;2;OccurAttrFeaturizer;manager;birthyear;0.492
dk;incremental;True;-1;2;OccurAttrFeaturizer;manager;birthplace;1.58
dk;incremental;True;-1;2;OccurAttrFeaturizer;manager;position;0.05
dk;incremental;True;-1;2;OccurAttrFeaturizer;manager;team;3.16
dk;incremental;True;-1;2;OccurAttrFeaturizer;manager;city;2.12
dk;incremental;True;-1;2;OccurAttrFeaturizer;manager;stadium;1.987
dk;incremental;True;-1;2;OccurAttrFeaturizer;manager;season;0.887
dk;incremental;True;-1;2;OccurAttrFeaturizer;manager;manager;0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;position;name;1.994
dk;incremental;True;-1;2;OccurAttrFeaturizer;position;surname;1.801
dk;incremental;True;-1;2;OccurAttrFeaturizer;position;birthyear;0.512
dk;incremental;True;-1;2;OccurAttrFeaturizer;position;birthplace;0.792
dk;incremental;True;-1;2;OccurAttrFeaturizer;position;position;0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;position;team;0.796
dk;incremental;True;-1;2;OccurAttrFeaturizer;position;city;0.23
dk;incremental;True;-1;2;OccurAttrFeaturizer;position;stadium;0.653
dk;incremental;True;-1;2;OccurAttrFeaturizer;position;season;0.005
dk;incremental;True;-1;2;OccurAttrFeaturizer;position;manager;0.709
dk;incremental;True;-1;2;OccurAttrFeaturizer;season;name;1.334
dk;incremental;True;-1;2;OccurAttrFeaturizer;season;surname;1.332
dk;incremental;True;-1;2;OccurAttrFeaturizer;season;birthyear;0.154
dk;incremental;True;-1;2;OccurAttrFeaturizer;season;birthplace;0.941
dk;incremental;True;-1;2;OccurAttrFeaturizer;season;position;-0.016
dk;incremental;True;-1;2;OccurAttrFeaturizer;season;team;2.074
dk;incremental;True;-1;2;OccurAttrFeaturizer;season;city;0.765
dk;incremental;True;-1;2;OccurAttrFeaturizer;season;stadium;0.863
dk;incremental;True;-1;2;OccurAttrFeaturizer;season;season;0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;season;manager;2.295
dk;incremental;True;-1;2;OccurAttrFeaturizer;stadium;name;1.639
dk;incremental;True;-1;2;OccurAttrFeaturizer;stadium;surname;1.625
dk;incremental;True;-1;2;OccurAttrFeaturizer;stadium;birthyear;0.42
dk;incremental;True;-1;2;OccurAttrFeaturizer;stadium;birthplace;1.176
dk;incremental;True;-1;2;OccurAttrFeaturizer;stadium;position;0.068
dk;incremental;True;-1;2;OccurAttrFeaturizer;stadium;team;2.458
dk;incremental;True;-1;2;OccurAttrFeaturizer;stadium;city;2.585
dk;incremental;True;-1;2;OccurAttrFeaturizer;stadium;stadium;-0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;stadium;season;0.21
dk;incremental;True;-1;2;OccurAttrFeaturizer;stadium;manager;1.753
dk;incremental;True;-1;2;OccurAttrFeaturizer;team;name;1.736
dk;incremental;True;-1;2;OccurAttrFeaturizer;team;surname;1.867
dk;incremental;True;-1;2;OccurAttrFeaturizer;team;birthyear;0.417
dk;incremental;True;-1;2;OccurAttrFeaturizer;team;birthplace;1.173
dk;incremental;True;-1;2;OccurAttrFeaturizer;team;position;0.021
dk;incremental;True;-1;2;OccurAttrFeaturizer;team;team;-0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;team;city;2.236
dk;incremental;True;-1;2;OccurAttrFeaturizer;team;stadium;2.44
dk;incremental;True;-1;2;OccurAttrFeaturizer;team;season;0.558
dk;incremental;True;-1;2;OccurAttrFeaturizer;team;manager;2.815
dk;incremental;True;-1;3;OccurAttrFeaturizer;birthplace;name;3.427
dk;incremental;True;-1;3;OccurAttrFeaturizer;birthplace;surname;3.387
dk;incremental;True;-1;3;OccurAttrFeaturizer;birthplace;birthyear;0.481
dk;incremental;True;-1;3;OccurAttrFeaturizer;birthplace;birthplace;-0.0
dk;incremental;True;-1;3;OccurAttrFeaturizer;birthplace;position;0.101
dk;incremental;True;-1;3;OccurAttrFeaturizer;birthplace;team;0.341
dk;incremental;True;-1;3;OccurAttrFeaturizer;birthplace;city;0.264
dk;incremental;True;-1;3;OccurAttrFeaturizer;birthplace;stadium;0.262
dk;incremental;True;-1;3;OccurAttrFeaturizer;birthplace;season;0.054
dk;incremental;True;-1;3;OccurAttrFeaturizer;birthplace;manager;0.438
dk;incremental;True;-1;3;OccurAttrFeaturizer;birthyear;name;2.758
dk;incremental;True;-1;3;OccurAttrFeaturizer;birthyear;surname;2.726
dk;incremental;True;-1;3;OccurAttrFeaturizer;birthyear;birthyear;-0.0
dk;incremental;True;-1;3;OccurAttrFeaturizer;birthyear;birthplace;1.602
dk;incremental;True;-1;3;OccurAttrFeaturizer;birthyear;position;0.068
dk;incremental;True;-1;3;OccurAttrFeaturizer;birthyear;team;0.337
dk;incremental;True;-1;3;OccurAttrFeaturizer;birthyear;city;0.264
dk;incremental;True;-1;3;OccurAttrFeaturizer;birthyear;stadium;0.279
dk;incremental;True;-1;3;OccurAttrFeaturizer;birthyear;season;0.054
dk;incremental;True;-1;3;OccurAttrFeaturizer;birthyear;manager;0.407
dk;incremental;True;-1;3;OccurAttrFeaturizer;city;name;1.628
dk;incremental;True;-1;3;OccurAttrFeaturizer;city;surname;1.625
dk;incremental;True;-1;3;OccurAttrFeaturizer;city;birthyear;0.241
dk;incremental;True;-1;3;OccurAttrFeaturizer;city;birthplace;1.189
dk;incremental;True;-1;3;OccurAttrFeaturizer;city;position;0.086
dk;incremental;True;-1;3;OccurAttrFeaturizer;city;team;2.479
dk;incremental;True;-1;3;OccurAttrFeaturizer;city;city;0.0
dk;incremental;True;-1;3;OccurAttrFeaturizer;city;stadium;2.741
dk;incremental;True;-1;3;OccurAttrFeaturizer;city;season;0.235
dk;incremental;True;-1;3;OccurAttrFeaturizer;city;manager;1.57
dk;incremental;True;-1;3;OccurAttrFeaturizer;manager;name;2.504
dk;incremental;True;-1;3;OccurAttrFeaturizer;manager;surname;2.448
dk;incremental;True;-1;3;OccurAttrFeaturizer;manager;birthyear;0.424
dk;incremental;True;-1;3;OccurAttrFeaturizer;manager;birthplace;1.475
dk;incremental;True;-1;3;OccurAttrFeaturizer;manager;position;0.043
dk;incremental;True;-1;3;OccurAttrFeaturizer;manager;team;3.673
dk;incremental;True;-1;3;OccurAttrFeaturizer;manager;city;2.034
dk;incremental;True;-1;3;OccurAttrFeaturizer;manager;stadium;1.928
dk;incremental;True;-1;3;OccurAttrFeaturizer;manager;season;0.864
dk;incremental;True;-1;3;OccurAttrFeaturizer;manager;manager;0.0
dk;incremental;True;-1;3;OccurAttrFeaturizer;position;name;1.93
dk;incremental;True;-1;3;OccurAttrFeaturizer;position;surname;1.849
dk;incremental;True;-1;3;OccurAttrFeaturizer;position;birthyear;0.185
dk;incremental;True;-1;3;OccurAttrFeaturizer;position;birthplace;0.737
dk;incremental;True;-1;3;OccurAttrFeaturizer;position;position;0.0
dk;incremental;True;-1;3;OccurAttrFeaturizer;position;team;0.929
dk;incremental;True;-1;3;OccurAttrFeaturizer;position;city;0.369
dk;incremental;True;-1;3;OccurAttrFeaturizer;position;stadium;0.46
dk;incremental;True;-1;3;OccurAttrFeaturizer;position;season;-0.005
dk;incremental;True;-1;3;OccurAttrFeaturizer;position;manager;0.882
dk;incremental;True;-1;3;OccurAttrFeaturizer;season;name;1.349
dk;incremental;True;-1;3;OccurAttrFeaturizer;season;surname;1.344
dk;incremental;True;-1;3;OccurAttrFeaturizer;season;birthyear;0.059
dk;incremental;True;-1;3;OccurAttrFeaturizer;season;birthplace;0.81
dk;incremental;True;-1;3;OccurAttrFeaturizer;season;position;-0.011
dk;incremental;True;-1;3;OccurAttrFeaturizer;season;team;2.144
dk;incremental;True;-1;3;OccurAttrFeaturizer;season;city;0.801
dk;incremental;True;-1;3;OccurAttrFeaturizer;season;stadium;0.821
dk;incremental;True;-1;3;OccurAttrFeaturizer;season;season;0.0
dk;incremental;True;-1;3;OccurAttrFeaturizer;season;manager;2.473
dk;incremental;True;-1;3;OccurAttrFeaturizer;stadium;name;1.651
dk;incremental;True;-1;3;OccurAttrFeaturizer;stadium;surname;1.65
dk;incremental;True;-1;3;OccurAttrFeaturizer;stadium;birthyear;0.3
dk;incremental;True;-1;3;OccurAttrFeaturizer;stadium;birthplace;1.177
dk;incremental;True;-1;3;OccurAttrFeaturizer;stadium;position;0.054
dk;incremental;True;-1;3;OccurAttrFeaturizer;stadium;team;2.497
dk;incremental;True;-1;3;OccurAttrFeaturizer;stadium;city;2.767
dk;incremental;True;-1;3;OccurAttrFeaturizer;stadium;stadium;-0.0
dk;incremental;True;-1;3;OccurAttrFeaturizer;stadium;season;0.208
dk;incremental;True;-1;3;OccurAttrFeaturizer;stadium;manager;1.64
dk;incremental;True;-1;3;OccurAttrFeaturizer;team;name;1.772
dk;incremental;True;-1;3;OccurAttrFeaturizer;team;surname;1.774
dk;incremental;True;-1;3;OccurAttrFeaturizer;team;birthyear;0.261
dk;incremental;True;-1;3;OccurAttrFeaturizer;team;birthplace;1.136
dk;incremental;True;-1;3;OccurAttrFeaturizer;team;position;0.045
dk;incremental;True;-1;3;OccurAttrFeaturizer;team;team;-0.0
dk;incremental;True;-1;3;OccurAttrFeaturizer;team;city;2.263
dk;incremental;True;-1;3;OccurAttrFeaturizer;team;stadium;2.424
dk;incremental;True;-1;3;OccurAttrFeaturizer;team;season;0.647
dk;incremental;True;-1;3;OccurAttrFeaturizer;team;manager;3.116
dk;incremental;True;-1;4;OccurAttrFeaturizer;birthplace;name;3.427
dk;incremental;True;-1;4;OccurAttrFeaturizer;birthplace;surname;3.387
dk;incremental;True;-1;4;OccurAttrFeaturizer;birthplace;birthyear;0.481
dk;incremental;True;-1;4;OccurAttrFeaturizer;birthplace;birthplace;-0.0
dk;incremental;True;-1;4;OccurAttrFeaturizer;birthplace;position;0.101
dk;incremental;True;-1;4;OccurAttrFeaturizer;birthplace;team;0.341
dk;incremental;True;-1;4;OccurAttrFeaturizer;birthplace;city;0.264
dk;incremental;True;-1;4;OccurAttrFeaturizer;birthplace;stadium;0.262
dk;incremental;True;-1;4;OccurAttrFeaturizer;birthplace;season;0.054
dk;incremental;True;-1;4;OccurAttrFeaturizer;birthplace;manager;0.438
dk;incremental;True;-1;4;OccurAttrFeaturizer;birthyear;name;2.758
dk;incremental;True;-1;4;OccurAttrFeaturizer;birthyear;surname;2.726
dk;incremental;True;-1;4;OccurAttrFeaturizer;birthyear;birthyear;-0.0
dk;incremental;True;-1;4;OccurAttrFeaturizer;birthyear;birthplace;1.602
dk;incremental;True;-1;4;OccurAttrFeaturizer;birthyear;position;0.068
dk;incremental;True;-1;4;OccurAttrFeaturizer;birthyear;team;0.337
dk;incremental;True;-1;4;OccurAttrFeaturizer;birthyear;city;0.264
dk;incremental;True;-1;4;OccurAttrFeaturizer;birthyear;stadium;0.279
dk;incremental;True;-1;4;OccurAttrFeaturizer;birthyear;season;0.054
dk;incremental;True;-1;4;OccurAttrFeaturizer;birthyear;manager;0.407
dk;incremental;True;-1;4;OccurAttrFeaturizer;city;name;1.628
dk;incremental;True;-1;4;OccurAttrFeaturizer;city;surname;1.625
dk;incremental;True;-1;4;OccurAttrFeaturizer;city;birthyear;0.241
dk;incremental;True;-1;4;OccurAttrFeaturizer;city;birthplace;1.189
dk;incremental;True;-1;4;OccurAttrFeaturizer;city;position;0.086
dk;incremental;True;-1;4;OccurAttrFeaturizer;city;team;2.479
dk;incremental;True;-1;4;OccurAttrFeaturizer;city;city;0.0
dk;incremental;True;-1;4;OccurAttrFeaturizer;city;stadium;2.741
dk;incremental;True;-1;4;OccurAttrFeaturizer;city;season;0.235
dk;incremental;True;-1;4;OccurAttrFeaturizer;city;manager;1.57
dk;incremental;True;-1;4;OccurAttrFeaturizer;manager;name;2.504
dk;incremental;True;-1;4;OccurAttrFeaturizer;manager;surname;2.448
dk;incremental;True;-1;4;OccurAttrFeaturizer;manager;birthyear;0.424
dk;incremental;True;-1;4;OccurAttrFeaturizer;manager;birthplace;1.475
dk;incremental;True;-1;4;OccurAttrFeaturizer;manager;position;0.043
dk;incremental;True;-1;4;OccurAttrFeaturizer;manager;team;3.673
dk;incremental;True;-1;4;OccurAttrFeaturizer;manager;city;2.034
dk;incremental;True;-1;4;OccurAttrFeaturizer;manager;stadium;1.928
dk;incremental;True;-1;4;OccurAttrFeaturizer;manager;season;0.864
dk;incremental;True;-1;4;OccurAttrFeaturizer;manager;manager;0.0
dk;incremental;True;-1;4;OccurAttrFeaturizer;position;name;1.93
dk;incremental;True;-1;4;OccurAttrFeaturizer;position;surname;1.849
dk;incremental;True;-1;4;OccurAttrFeaturizer;position;birthyear;0.185
dk;incremental;True;-1;4;OccurAttrFeaturizer;position;birthplace;0.737
dk;incremental;True;-1;4;OccurAttrFeaturizer;position;position;0.0
dk;incremental;True;-1;4;OccurAttrFeaturizer;position;team;0.929
dk;incremental;True;-1;4;OccurAttrFeaturizer;position;city;0.369
dk;incremental;True;-1;4;OccurAttrFeaturizer;position;stadium;0.46
dk;incremental;True;-1;4;OccurAttrFeaturizer;position;season;-0.005
dk;incremental;True;-1;4;OccurAttrFeaturizer;position;manager;0.882
dk;incremental;True;-1;4;OccurAttrFeaturizer;season;name;1.349
dk;incremental;True;-1;4;OccurAttrFeaturizer;season;surname;1.344
dk;incremental;True;-1;4;OccurAttrFeaturizer;season;birthyear;0.059
dk;incremental;True;-1;4;OccurAttrFeaturizer;season;birthplace;0.81
dk;incremental;True;-1;4;OccurAttrFeaturizer;season;position;-0.011
dk;incremental;True;-1;4;OccurAttrFeaturizer;season;team;2.144
dk;incremental;True;-1;4;OccurAttrFeaturizer;season;city;0.801
dk;incremental;True;-1;4;OccurAttrFeaturizer;season;stadium;0.821
dk;incremental;True;-1;4;OccurAttrFeaturizer;season;season;0.0
dk;incremental;True;-1;4;OccurAttrFeaturizer;season;manager;2.473
dk;incremental;True;-1;4;OccurAttrFeaturizer;stadium;name;1.651
dk;incremental;True;-1;4;OccurAttrFeaturizer;stadium;surname;1.65
dk;incremental;True;-1;4;OccurAttrFeaturizer;stadium;birthyear;0.3
dk;incremental;True;-1;4;OccurAttrFeaturizer;stadium;birthplace;1.177
dk;incremental;True;-1;4;OccurAttrFeaturizer;stadium;position;0.054
dk;incremental;True;-1;4;OccurAttrFeaturizer;stadium;team;2.497
dk;incremental;True;-1;4;OccurAttrFeaturizer;stadium;city;2.767
dk;incremental;True;-1;4;OccurAttrFeaturizer;stadium;stadium;-0.0
dk;incremental;True;-1;4;OccurAttrFeaturizer;stadium;season;0.208
dk;incremental;True;-1;4;OccurAttrFeaturizer;stadium;manager;1.64
dk;incremental;True;-1;4;OccurAttrFeaturizer;team;name;1.772
dk;incremental;True;-1;4;OccurAttrFeaturizer;team;surname;1.774
dk;incremental;True;-1;4;OccurAttrFeaturizer;team;birthyear;0.261
dk;incremental;True;-1;4;OccurAttrFeaturizer;team;birthplace;1.136
dk;incremental;True;-1;4;OccurAttrFeaturizer;team;position;0.045
dk;incremental;True;-1;4;OccurAttrFeaturizer;team;team;-0.0
dk;incremental;True;-1;4;OccurAttrFeaturizer;team;city;2.263
dk;incremental;True;-1;4;OccurAttrFeaturizer;team;stadium;2.424
dk;incremental;True;-1;4;OccurAttrFeaturizer;team;season;0.647
dk;incremental;True;-1;4;OccurAttrFeaturizer;team;manager;3.116
dk;incremental;True;-1;5;OccurAttrFeaturizer;birthplace;name;3.453
dk;incremental;True;-1;5;OccurAttrFeaturizer;birthplace;surname;3.395
dk;incremental;True;-1;5;OccurAttrFeaturizer;birthplace;birthyear;0.473
dk;incremental;True;-1;5;OccurAttrFeaturizer;birthplace;birthplace;-0.0
dk;incremental;True;-1;5;OccurAttrFeaturizer;birthplace;position;0.044
dk;incremental;True;-1;5;OccurAttrFeaturizer;birthplace;team;0.293
dk;incremental;True;-1;5;OccurAttrFeaturizer;birthplace;city;0.219
dk;incremental;True;-1;5;OccurAttrFeaturizer;birthplace;stadium;0.222
dk;incremental;True;-1;5;OccurAttrFeaturizer;birthplace;season;0.053
dk;incremental;True;-1;5;OccurAttrFeaturizer;birthplace;manager;0.355
dk;incremental;True;-1;5;OccurAttrFeaturizer;birthyear;name;2.758
dk;incremental;True;-1;5;OccurAttrFeaturizer;birthyear;surname;2.726
dk;incremental;True;-1;5;OccurAttrFeaturizer;birthyear;birthyear;-0.0
dk;incremental;True;-1;5;OccurAttrFeaturizer;birthyear;birthplace;1.602
dk;incremental;True;-1;5;OccurAttrFeaturizer;birthyear;position;0.068
dk;incremental;True;-1;5;OccurAttrFeaturizer;birthyear;team;0.337
dk;incremental;True;-1;5;OccurAttrFeaturizer;birthyear;city;0.264
dk;incremental;True;-1;5;OccurAttrFeaturizer;birthyear;stadium;0.279
dk;incremental;True;-1;5;OccurAttrFeaturizer;birthyear;season;0.054
dk;incremental;True;-1;5;OccurAttrFeaturizer;birthyear;manager;0.407
dk;incremental;True;-1;5;OccurAttrFeaturizer;city;name;1.592
dk;incremental;True;-1;5;OccurAttrFeaturizer;city;surname;1.576
dk;incremental;True;-1;5;OccurAttrFeaturizer;city;birthyear;0.249
dk;incremental;True;-1;5;OccurAttrFeaturizer;city;birthplace;1.223
dk;incremental;True;-1;5;OccurAttrFeaturizer;city;position;0.07
dk;incremental;True;-1;5;OccurAttrFeaturizer;city;team;2.559
dk;incremental;True;-1;5;OccurAttrFeaturizer;city;city;0.0
dk;incremental;True;-1;5;OccurAttrFeaturizer;city;stadium;2.87
dk;incremental;True;-1;5;OccurAttrFeaturizer;city;season;0.291
dk;incremental;True;-1;5;OccurAttrFeaturizer;city;manager;1.721
dk;incremental;True;-1;5;OccurAttrFeaturizer;manager;name;2.603
dk;incremental;True;-1;5;OccurAttrFeaturizer;manager;surname;2.566
dk;incremental;True;-1;5;OccurAttrFeaturizer;manager;birthyear;0.45
dk;incremental;True;-1;5;OccurAttrFeaturizer;manager;birthplace;1.488
dk;incremental;True;-1;5;OccurAttrFeaturizer;manager;position;0.054
dk;incremental;True;-1;5;OccurAttrFeaturizer;manager;team;3.701
dk;incremental;True;-1;5;OccurAttrFeaturizer;manager;city;2.007
dk;incremental;True;-1;5;OccurAttrFeaturizer;manager;stadium;1.845
dk;incremental;True;-1;5;OccurAttrFeaturizer;manager;season;0.908
dk;incremental;True;-1;5;OccurAttrFeaturizer;manager;manager;0.0
dk;incremental;True;-1;5;OccurAttrFeaturizer;position;name;1.93
dk;incremental;True;-1;5;OccurAttrFeaturizer;position;surname;1.849
dk;incremental;True;-1;5;OccurAttrFeaturizer;position;birthyear;0.185
