infer_mode;features;train_using_all_batches;batch;featurizer;attribute;feature;weight
all;incremental;False;1;OccurAttrFeaturizer;address;results;0.002
all;incremental;False;1;OccurAttrFeaturizer;address;latitude;0.133
all;incremental;False;1;OccurAttrFeaturizer;address;longitude;0.133
all;incremental;False;1;OccurAttrFeaturizer;akaname;inspectionid;3.81
all;incremental;False;1;OccurAttrFeaturizer;akaname;dbaname;2.499
all;incremental;False;1;OccurAttrFeaturizer;akaname;akaname;-0.0
all;incremental;False;1;OccurAttrFeaturizer;akaname;license;2.562
all;incremental;False;1;OccurAttrFeaturizer;akaname;facilitytype;0.1
all;incremental;False;1;OccurAttrFeaturizer;akaname;risk;0.005
all;incremental;False;1;OccurAttrFeaturizer;akaname;address;1.901
all;incremental;False;1;OccurAttrFeaturizer;akaname;city;0.001
all;incremental;False;1;OccurAttrFeaturizer;akaname;state;-0.0
all;incremental;False;1;OccurAttrFeaturizer;akaname;zip;0.04
all;incremental;False;1;OccurAttrFeaturizer;akaname;inspectiondate;0.192
all;incremental;False;1;OccurAttrFeaturizer;akaname;inspectiontype;0.027
all;incremental;False;1;OccurAttrFeaturizer;akaname;results;0.002
all;incremental;False;1;OccurAttrFeaturizer;akaname;latitude;0.088
all;incremental;False;1;OccurAttrFeaturizer;akaname;longitude;0.088
all;incremental;False;1;OccurAttrFeaturizer;city;inspectionid;0.519
all;incremental;False;1;OccurAttrFeaturizer;city;dbaname;0.519
all;incremental;False;1;OccurAttrFeaturizer;city;akaname;0.489
all;incremental;False;1;OccurAttrFeaturizer;city;license;0.519
all;incremental;False;1;OccurAttrFeaturizer;city;facilitytype;0.373
all;incremental;False;1;OccurAttrFeaturizer;city;risk;0.401
all;incremental;False;1;OccurAttrFeaturizer;city;address;0.512
all;incremental;False;1;OccurAttrFeaturizer;city;city;-0.0
all;incremental;False;1;OccurAttrFeaturizer;city;state;0.401
all;incremental;False;1;OccurAttrFeaturizer;city;zip;0.404
all;incremental;False;1;OccurAttrFeaturizer;city;inspectiondate;0.404
all;incremental;False;1;OccurAttrFeaturizer;city;inspectiontype;0.402
all;incremental;False;1;OccurAttrFeaturizer;city;results;0.401
all;incremental;False;1;OccurAttrFeaturizer;city;latitude;0.404
all;incremental;False;1;OccurAttrFeaturizer;city;longitude;0.404
all;incremental;False;1;OccurAttrFeaturizer;dbaname;inspectionid;3.241
all;incremental;False;1;OccurAttrFeaturizer;dbaname;dbaname;-0.0
all;incremental;False;1;OccurAttrFeaturizer;dbaname;akaname;2.471
all;incremental;False;1;OccurAttrFeaturizer;dbaname;license;2.924
all;incremental;False;1;OccurAttrFeaturizer;dbaname;facilitytype;0.16
all;incremental;False;1;OccurAttrFeaturizer;dbaname;risk;0.006
all;incremental;False;1;OccurAttrFeaturizer;dbaname;address;2.195
all;incremental;False;1;OccurAttrFeaturizer;dbaname;city;0.002
all;incremental;False;1;OccurAttrFeaturizer;dbaname;state;0.0
all;incremental;False;1;OccurAttrFeaturizer;dbaname;zip;0.038
all;incremental;False;1;OccurAttrFeaturizer;dbaname;inspectiondate;0.239
all;incremental;False;1;OccurAttrFeaturizer;dbaname;inspectiontype;0.049
all;incremental;False;1;OccurAttrFeaturizer;dbaname;results;0.003
all;incremental;False;1;OccurAttrFeaturizer;dbaname;latitude;0.087
all;incremental;False;1;OccurAttrFeaturizer;dbaname;longitude;0.087
all;incremental;False;1;OccurAttrFeaturizer;facilitytype;inspectionid;1.776
all;incremental;False;1;OccurAttrFeaturizer;facilitytype;dbaname;1.534
all;incremental;False;1;OccurAttrFeaturizer;facilitytype;akaname;1.486
all;incremental;False;1;OccurAttrFeaturizer;facilitytype;license;1.601
all;incremental;False;1;OccurAttrFeaturizer;facilitytype;facilitytype;0.0
all;incremental;False;1;OccurAttrFeaturizer;facilitytype;risk;0.325
all;incremental;False;1;OccurAttrFeaturizer;facilitytype;address;1.369
all;incremental;False;1;OccurAttrFeaturizer;facilitytype;city;0.259
all;incremental;False;1;OccurAttrFeaturizer;facilitytype;state;0.259
all;incremental;False;1;OccurAttrFeaturizer;facilitytype;zip;0.314
all;incremental;False;1;OccurAttrFeaturizer;facilitytype;inspectiondate;0.397
all;incremental;False;1;OccurAttrFeaturizer;facilitytype;inspectiontype;0.312
all;incremental;False;1;OccurAttrFeaturizer;facilitytype;results;0.263
all;incremental;False;1;OccurAttrFeaturizer;facilitytype;latitude;0.334
all;incremental;False;1;OccurAttrFeaturizer;facilitytype;longitude;0.334
all;incremental;False;1;OccurAttrFeaturizer;inspectiondate;inspectionid;4.494
all;incremental;False;1;OccurAttrFeaturizer;inspectiondate;dbaname;1.367
all;incremental;False;1;OccurAttrFeaturizer;inspectiondate;akaname;1.295
all;incremental;False;1;OccurAttrFeaturizer;inspectiondate;license;1.758
all;incremental;False;1;OccurAttrFeaturizer;inspectiondate;facilitytype;0.063
all;incremental;False;1;OccurAttrFeaturizer;inspectiondate;risk;0.004
all;incremental;False;1;OccurAttrFeaturizer;inspectiondate;address;1.533
all;incremental;False;1;OccurAttrFeaturizer;inspectiondate;city;0.002
all;incremental;False;1;OccurAttrFeaturizer;inspectiondate;state;0.002
all;incremental;False;1;OccurAttrFeaturizer;inspectiondate;zip;0.019
all;incremental;False;1;OccurAttrFeaturizer;inspectiondate;inspectiondate;-0.0
all;incremental;False;1;OccurAttrFeaturizer;inspectiondate;inspectiontype;0.055
all;incremental;False;1;OccurAttrFeaturizer;inspectiondate;results;0.002
