batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11;w12
12;4.525910377502441;3.427217960357666;0.08393216878175735;0.14826761186122894;0.16321003437042236;0.26680853962898254;0.08422650396823883;0.10993649810552597;0.22602444887161255;2.994855077954999e-41;0.5652587413787842;0.5193930864334106;0.5659036636352539
13;4.510112285614014;3.4161739349365234;0.1031649187207222;0.16929630935192108;0.16926880180835724;0.3297123610973358;0.10497722029685974;0.12340592592954636;0.29305797815322876;2.994855077954999e-41;0.6849794983863831;0.6705055832862854;0.6196062564849854
13;4.531893253326416;3.4279401302337646;0.1061854287981987;0.1705598682165146;0.1845930814743042;0.27350476384162903;0.10902706533670425;0.12345603853464127;0.25434136390686035;2.994855077954999e-41;0.564609706401825;0.5383753180503845;0.5645533800125122
14;4.493635654449463;3.4465668201446533;0.08501904457807541;0.1693953424692154;0.1543736606836319;0.3288222849369049;0.09608502686023712;0.1152288168668747;0.2757854163646698;2.994855077954999e-41;0.6662391424179077;0.6340622305870056;0.5947750806808472
14;4.519743919372559;3.454003095626831;0.08529254049062729;0.16326305270195007;0.16510486602783203;0.270986944437027;0.09827037155628204;0.11585724353790283;0.23597653210163116;2.994855077954999e-41;0.5510030388832092;0.5227894186973572;0.5480394959449768
15;4.499549388885498;3.4325428009033203;0.09671210497617722;0.19653703272342682;0.18546585738658905;0.32421770691871643;0.0956355556845665;0.127201646566391;0.2664562463760376;2.994855077954999e-41;0.641555905342102;0.5966363549232483;0.5782488584518433
15;4.521188259124756;3.446258544921875;0.0990237444639206;0.19066041707992554;0.19122125208377838;0.27040234208106995;0.09746865183115005;0.125965416431427;0.23343156278133392;2.994855077954999e-41;0.535173237323761;0.5065491199493408;0.5396320819854736
16;4.508932113647461;3.4543964862823486;0.11840221285820007;0.18638038635253906;0.1890076994895935;0.3172597885131836;0.11698196083307266;0.1334335207939148;0.25167179107666016;2.994855077954999e-41;0.6581852436065674;0.579275906085968;0.5779592990875244
16;4.529275417327881;3.4660418033599854;0.12098020315170288;0.1836339831352234;0.19510936737060547;0.27121928334236145;0.1148470863699913;0.1294768899679184;0.22806842625141144;2.994855077954999e-41;0.5671108365058899;0.5091069936752319;0.5466316938400269
17;4.508967876434326;3.4312705993652344;0.11357045918703079;0.1888805627822876;0.1989286243915558;0.3010621666908264;0.10389935225248337;0.12976568937301636;0.24682128429412842;2.994855077954999e-41;0.6761785745620728;0.6232608556747437;0.5535206198692322
17;4.531189918518066;3.437627077102661;0.11197138577699661;0.17883549630641937;0.198229119181633;0.25800448656082153;0.10095377266407013;0.12120112031698227;0.2176913470029831;2.994855077954999e-41;0.6060075759887695;0.5479168891906738;0.527469277381897
18;4.5120649337768555;3.484527587890625;0.11237362027168274;0.16446660459041595;0.1886211782693863;0.28153714537620544;0.10107865184545517;0.10117010027170181;0.21150098741054535;2.994855077954999e-41;0.6676278710365295;0.6259117126464844;0.5287418365478516
18;4.523593425750732;3.485077381134033;0.11190322786569595;0.15650252997875214;0.1896945834159851;0.24477015435695648;0.09600912034511566;0.09857363253831863;0.19620227813720703;2.994855077954999e-41;0.5951517224311829;0.548456072807312;0.5092937350273132
19;4.497264862060547;3.520387649536133;0.09662248194217682;0.15485255420207977;0.16901569068431854;0.2756045162677765;0.08378077298402786;0.10148587077856064;0.19161470234394073;2.994855077954999e-41;0.6541170477867126;0.6092193126678467;0.5109211206436157
19;4.500368595123291;3.5161941051483154;0.0934898629784584;0.14745329320430756;0.16964508593082428;0.24300424754619598;0.08098302036523819;0.10337738692760468;0.18075907230377197;2.994855077954999e-41;0.5883132815361023;0.541268527507782;0.4956909120082855
20;4.516725540161133;3.4852535724639893;0.07175083458423615;0.12731583416461945;0.13992586731910706;0.23544737696647644;0.055695220828056335;0.08732540160417557;0.16628773510456085;2.994855077954999e-41;0.6181250214576721;0.5643103718757629;0.5228307843208313
20;4.518566131591797;3.483722686767578;0.07118254899978638;0.12260445207357407;0.1420058310031891;0.21752339601516724;0.05290790647268295;0.08603168278932571;0.1632489562034607;2.994855077954999e-41;0.5728248953819275;0.513306200504303;0.5058349370956421
