batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11;w12
25;0.5596798658370972;0.4486904740333557;0.4620766341686249;0.48350125551223755;0.5049704313278198;3.497965097427368;1.4760525226593018;0.4892371594905853;-2.1425853519526453e-41;0.4725284278392792;3.510723829269409;3.5018463134765625;0.7545053958892822
25;0.5596798658370972;0.4486904740333557;0.4620766341686249;0.48350125551223755;0.5049704313278198;3.497965097427368;1.4760525226593018;0.4892371594905853;-2.1425853519526453e-41;0.4725284278392792;3.510723829269409;3.5018463134765625;0.7545053958892822
26;0.5071104764938354;0.44234734773635864;0.4537838399410248;0.47105497121810913;0.4939393103122711;3.526409864425659;1.4766441583633423;0.4910656213760376;-2.1425853519526453e-41;0.4663757383823395;3.5659618377685547;3.573648452758789;0.6943634748458862
26;0.556114912033081;0.43264704942703247;0.4482882022857666;0.46707671880722046;0.4890167713165283;3.495230197906494;1.4753962755203247;0.4908323287963867;-2.1425853519526453e-41;0.45966091752052307;3.514866828918457;3.5384633541107178;0.7220811247825623
27;0.5529299974441528;0.48185408115386963;0.4786492884159088;0.4917844235897064;0.5127506852149963;3.521733045578003;1.4941147565841675;0.5068027377128601;-2.1425853519526453e-41;0.49309423565864563;3.592438220977783;3.590916872024536;0.7282689809799194
27;0.5919881463050842;0.4693548381328583;0.468853235244751;0.4834706783294678;0.5038099884986877;3.4977540969848633;1.490133285522461;0.502670407295227;-2.1425853519526453e-41;0.4829024374485016;3.5365149974823;3.55482816696167;0.7482625246047974
28;0.5609111189842224;0.4922104775905609;0.4854739010334015;0.49153342843055725;0.5138713121414185;3.541327476501465;1.4760528802871704;0.5091939568519592;-2.1425853519526453e-41;0.4873351752758026;3.593700647354126;3.570939302444458;0.7297452092170715
28;0.6016225218772888;0.4806666374206543;0.47376012802124023;0.48356932401657104;0.5053808689117432;3.520120143890381;1.4713996648788452;0.5051300525665283;-2.1425853519526453e-41;0.4780370593070984;3.541962146759033;3.536261558532715;0.7520666122436523
29;0.5258594751358032;0.46799200773239136;0.47550496459007263;0.4653395116329193;0.49970802664756775;3.537475109100342;1.4575142860412598;0.482448548078537;-2.1425853519526453e-41;0.4620562195777893;3.610128402709961;3.5586531162261963;0.7002666592597961
29;0.5642449855804443;0.45593366026878357;0.4611140489578247;0.4611876904964447;0.49187201261520386;3.5099222660064697;1.4491668939590454;0.47453573346138;-2.1425853519526453e-41;0.45137739181518555;3.5559284687042236;3.5132617950439453;0.7187475562095642
30;0.5577870607376099;0.46117350459098816;0.4681999087333679;0.47851574420928955;0.5038564801216125;3.510869026184082;1.4333213567733765;0.4964618682861328;-2.1425853519526453e-41;0.46879300475120544;3.5543582439422607;3.4937264919281006;0.7401931881904602
30;0.5296545624732971;0.4705653488636017;0.48049867153167725;0.48173418641090393;0.5066093802452087;3.5404086112976074;1.4429501295089722;0.5019409656524658;-2.1425853519526453e-41;0.48153725266456604;3.6081299781799316;3.5390827655792236;0.7156805396080017
31;0.5753480195999146;0.465365469455719;0.47065138816833496;0.49288231134414673;0.5133917927742004;3.5286314487457275;1.4413068294525146;0.5074005126953125;-2.1425853519526453e-41;0.4889368712902069;3.5417890548706055;3.4797048568725586;0.7701898217201233
31;0.5451931357383728;0.4756181538105011;0.48331886529922485;0.4984462261199951;0.518733024597168;3.555063009262085;1.4541499614715576;0.5134577751159668;-2.1425853519526453e-41;0.4977044463157654;3.592366933822632;3.5213463306427;0.7506597638130188
